tender_id,tenderguru_card_id,documentation_result_id,date,classification,relevance_score,matched_terms,matched_queries,sources,reason,tender_name,customer,customer_inn,category,region,price,end_time,fz,etp,tender_num_outer,tender_link,tenderguru_link,doc_links_from_documentation_search,docs_count_in_card,docs_status,docs_ai_api_url
"94517974","94517974","","23-05-2026","ai_core","10","искусственный интеллект","""искусственный интеллект""","search","найдено в карточке/названии; совпадения: искусственный интеллект; карточка содержит 500 символов описания","Право заключения договора на оказание услуг по реализации решения «системы искусственного интеллекта по распознаванию результатов металлографического контроля на АО ЧМЗ»","Росатом","","Системная интеграция, оргтехника","Удмуртия","2461621","03-06-2026","","","","-","https://www.tenderguru.ru/tender/94517974","","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94517974&ff=a&drl=1"
"94518409","94518409","","23-05-2026","ai_core","10","искусственный интеллект","""искусственный интеллект""","search","найдено в карточке/названии; совпадения: искусственный интеллект; карточка содержит 500 символов описания","Открытый запрос предложений в электронной форме на Право заключения договора на оказание услуг по реализации решения «системы искусственного интеллекта по распознаванию результатов металлографического контроля на АО ЧМЗ»","Акционерное общество «Промышленные инновации»","","Услуги","Удмуртия","2461621","03-06-2026","","Торги заказчиков атомной отрасли atom.roseltorg.ru","","https://www.roseltorg.ru/procedure/ATOM22052600249","https://www.tenderguru.ru/tender/94518409","","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94518409&ff=a&drl=1"
"0373100111426000017","94515930","","23-05-2026","ai_core","8","распознавание изображений","""распознавание изображений""","search","найдено в карточке/названии; совпадения: распознавание изображений; карточка содержит 500 символов описания","Поставка системы для высокопроизводительного секвенирования","Федеральное государственное учреждение здравоохранения ""Противочумный центр"" Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека","7704000017","Оборудование","Москва","9298560","01-06-2026","44","РТС-тендер","0373100111426000017","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0373100111426000017","https://www.tenderguru.ru/tender/94515930","","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94515930&ff=a&drl=1"
"0848300045426000402","94506847","","22-05-2026","ai_core","20","искусственный интеллект; технологии искусственного интеллекта","""искусственный интеллект""; ""технологии искусственного интеллекта""","search","найдено в карточке/названии; совпадения: искусственный интеллект, технологии искусственного интеллекта; карточка содержит 500 символов описания","Оказание услуг по сбору, обработке, контент-анализу информации и сопровождению модулей информационно-аналитической системы с использованием технологий искусственного интеллекта для нужд МКУ «Муниципальный центр управления регионом Одинцовского городского округа Московской области» в 2026 году (второе полугодие)","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУПОК ОДИНЦОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ""","5032203563","Системная интеграция, оргтехника","Московская область","8768833","01-06-2026","44","РТС-тендер","0848300045426000402","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0848300045426000402","https://www.tenderguru.ru/tender/94506847","","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94506847&ff=a&drl=1"
"0345100003326000071","94511664","","22-05-2026","ai_core","19","искусственный интеллект; нейронная сеть","""искусственный интеллект""; ""нейронная сеть""","search","найдено в карточке/названии; совпадения: искусственный интеллект, нейронная сеть; карточка содержит 500 символов описания","Поставка оборудования для системы телевизионного наблюдения (СТН)","Учреждение Российской академии наук Петербургский институт ядерной физики им.Б.П.Константинова РАН","4705001850","Системная интеграция, оргтехника","Ленинградская область","1100471","02-06-2026","44","РТС-тендер","0345100003326000071","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0345100003326000071","https://www.tenderguru.ru/tender/94511664","","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94511664&ff=a&drl=1"
"0187200001726000635","94506322","","22-05-2026","ai_core","10","искусственный интеллект","""искусственный интеллект""","search","найдено в карточке/названии; совпадения: искусственный интеллект; карточка содержит 500 символов описания","Оказание услуг по организации и проведению экспертной сессии ""Применение дистанционного зондирования Земли, беспилотных авиационных систем и искусственного интеллекта в природоохранной деятельности""","Департамент государственного заказа Ханты-Мансийского автономного округа - Югры","8601032989","Услуги","Ханты-Мансийский АО","500000","29-05-2026","44","ЭТП «Фабрикант»","0187200001726000635","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0187200001726000635","https://www.tenderguru.ru/tender/94506322","","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94506322&ff=a&drl=1"
"94509582","94509582","","22-05-2026","ai_core","10","искусственный интеллект","""искусственный интеллект""","search","найдено в карточке/названии; совпадения: искусственный интеллект; карточка содержит 500 символов описания","Поставка образовательного набора Bioeducation ""Экология"" (или эквивалент)","МБОУ ""ВЫСОКОМЫСОВСКАЯ СОШ""","","Хозяйственные товары","Ханты-Мансийский АО","148208","26-05-2026","","ЭЛЕКТРОННЫЙ МАГАЗИН РТС-МАРКЕТ (Закупки малого объема)","10328598","https://www.rts-tender.ru/poisk/id/l14785438-3-9-1/","https://www.tenderguru.ru/tender/94509582","","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94509582&ff=a&drl=1"
"32616038074","94514628","","22-05-2026","ai_core","10","искусственный интеллект","""искусственный интеллект""","search","найдено в карточке/названии; совпадения: искусственный интеллект; карточка содержит 500 символов описания","Выполнение работ по адаптации и внедрению системы искусственного интеллекта для автоматизированной генерации 2D-планов и 3D-планов планировочных решений, а также созданию 3D-панорам с внедрением в них планировочных решений и необходимых элементов интерфейса для объектов Московского фонда реновации жилой застройки","МОСКОВСКИЙ ФОНД РЕНОВАЦИИ ЖИЛОЙ ЗАСТРОЙКИ","7703434808","Услуги","Москва","","08-06-2026","223","Росэлторг (roseltorg) - Единая электронная торговая площадка","32616038074","https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=32616038074&morphology=on&search-filter=Дате+размещения&pageNumber=1&sortDirection=false&recordsPerPage=_10&showLotsInfoHidden=false&sortBy=UPDATE_DATE&fz44=on&fz223=on&af=on&ca=on&pc=on&pa=on&currencyIdGeneral=-1","https://www.tenderguru.ru/tender/94514628","","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94514628&ff=a&drl=1"
"1011500002326000087","94502702","","22-05-2026","ai_core","9","нейросеть","нейросеть","search","найдено в карточке/названии; совпадения: нейросеть; карточка содержит 500 символов описания","Оказание услуг по проведению мастер-классов по общеразвивающей программе «Нейросети и цифровое творчество» для детей в условиях лагерной смены","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ МОЛОДЕЖНЫЙ ЦЕНТР ""СЭЛЭТ - АК БАРС"" МИНИСТЕРСТВА ПО ДЕЛАМ МОЛОДЕЖИ РЕСПУБЛИКИ ТАТАРСТАН","1655476850","Услуги","Татарстан","1020600","01-06-2026","44","Система электронных торгов ЗаказРф (zakazrf)","1011500002326000087","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=1011500002326000087","https://www.tenderguru.ru/tender/94502702","","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94502702&ff=a&drl=1"
"136100006226000012","","84101048","21-05-2026","ai_core","21","искусственный интеллект; машинное обучение","""искусственный интеллект""; ""машинное обучение""","documentation","найдено также в документации; совпадения: искусственный интеллект, машинное обучение","Услуги по адаптации и сопровождению экземпляров Систем ""Консультант Плюс"" (закупка услуг в сфере информационно-коммуникационных технологий)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЛЕЧЕБНОЕ ИСПРАВИТЕЛЬНОЕ УЧРЕЖДЕНИЕ № 8 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ТВЕРСКОЙ ОБЛАСТИ""","","Транспорт","Тверская область","81000","02-06-2026","","","","","https://www.tenderguru.ru/tender/84101048","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1DRkIxRkQyMzk5QUY0MEQ4QkU3RTFDQjU3NDBBQTkzQQ%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=CFB1FD2399AF40D8BE7E1CB5740AA93A","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=136100006226000012&ff=a&drl=1"
