tender_id,date,tender_name,customer,customer_inn,region,price,end_time,fz,etp,tender_link,tenderguru_link,tender_num_outer,doc_name,doc_url,doc_type,docs_count_in_card,docs_status,docs_ai_status,docs_ai_info,docs_ai_api_url
"94522987","25-05-2026","Оказание услуг на допоставку экземпляров в комплект Систем КонсультантПлюс и на оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копии Систем КонсультантПлюс) в сфере информационно-коммуникационных технологий, Установка дополнительных экземпляров Системы (единоразовая услуга)","ФКУ ИК-5 УФСИН РОССИИ ПО КАЛУЖСКОЙ ОБЛАСТИ","","Калужская область","215004","25-05-2026","","Единый агрегатор торговли «Березка»","https://agregatoreat.ru/purchases/announcement/95ab0df7-3870-4c9a-ad0d-d8e3c1cbbd46/info","https://www.tenderguru.ru/tender/94522987","","","","","0","docsXML empty in tender card","denied","Информация доступна в платных тарифах https://tenderguru.ru/tariffs/short","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94522987&ff=a&drl=1"
"94523005","25-05-2026","Оказание услуги по предоставлению права использования на условиях простой (неисключительной) лицензии ПО «Отраслевой информационный ресурс» в составе «Электронный сервис «РАМЗЭС 2.0»)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА №3 ГОРОДА СОЧИ","","Краснодарский край","120000","27-05-2026","","ЭЛЕКТРОННЫЙ МАГАЗИН РТС-МАРКЕТ (Закупки малого объема)","https://www.rts-tender.ru/poisk/id/l14786669-3-9-1/","https://www.tenderguru.ru/tender/94523005","10329721","","","","0","docsXML empty in tender card","denied","Информация доступна в платных тарифах https://tenderguru.ru/tariffs/short","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94523005&ff=a&drl=1"
"94523042","25-05-2026","26-224 (запросе котировок) поиск аналогов программного обеспечения ""EPLAN Electric P8"".","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ""НОРИЛЬСКИЙ НИКЕЛЬ""","","Москва","","12-06-2026","","Портал поставщиков","https://old.zakupki.mos.ru/#/need/6079137","https://www.tenderguru.ru/tender/94523042","","","","","0","docsXML empty in tender card","denied","Информация доступна в платных тарифах https://tenderguru.ru/tariffs/short","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94523042&ff=a&drl=1"
"94523403","25-05-2026","Приобретение прав на использование ПО","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННЫЙ КОМПЛЕКС ""АХТУБА""","","Москва","80830","26-05-2026","","Портал поставщиков","https://old.zakupki.mos.ru/#/need/6079276","https://www.tenderguru.ru/tender/94523403","","","","","0","docsXML empty in tender card","denied","Информация доступна в платных тарифах https://tenderguru.ru/tariffs/short","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94523403&ff=a&drl=1"
"94523514","25-05-2026","Приобретение неисключительных лицензионных прав на программное обеспечения для психологов Мини-СМИЛ и Индивидуально-типологический опросник (тест ИТО)(В сфере ИКТ)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ДЛЯ ДЕТЕЙ-СИРОТ И ДЕТЕЙ, ОСТАВШИХСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ, ""ПРЕОБРАЖЕНИЕ""","","Московская область","40504","25-05-2026","","Портал поставщиков","https://old.zakupki.mos.ru/#/need/6079375","https://www.tenderguru.ru/tender/94523514","","","","","0","docsXML empty in tender card","denied","Информация доступна в платных тарифах https://tenderguru.ru/tariffs/short","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94523514&ff=a&drl=1"
"94523516","25-05-2026","269196-26LO о передаче неисключительных прав использования лицензионного программного обеспечения Kaspersky Endpoint Security для бизнеса – Расширенный Russian Edition","ЭЛЕКТРОННЫЙ МАГАЗИН ЛЕНИНГРАДСКОЙ ОБЛАСТИ","","Ленинградская область","","","","","https://zakupki.lenreg.ru/ProductRequestGroup/Index/269196","https://www.tenderguru.ru/tender/94523516","","","","","0","docsXML empty in tender card","denied","Информация доступна в платных тарифах https://tenderguru.ru/tariffs/short","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94523516&ff=a&drl=1"
"94523615","25-05-2026","На право использования программы для ЭВМ «Контур.Экстерн» и оказание услуг по сопровождению (технической поддержке)","","","Краснодарский край","7106","25-05-2026","","ЭЛЕКТРОННЫЙ МАГАЗИН РТС-МАРКЕТ (Закупки малого объема)","https://www.rts-tender.ru/poisk/id/l14786837-3-9-1/","https://www.tenderguru.ru/tender/94523615","10329856","","","","0","docsXML empty in tender card","denied","Информация доступна в платных тарифах https://tenderguru.ru/tariffs/short","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94523615&ff=a&drl=1"
"94523617","25-05-2026","Право использования программы для ЭВМ «Контур.Диадок»","","","Краснодарский край","3176","25-05-2026","","ЭЛЕКТРОННЫЙ МАГАЗИН РТС-МАРКЕТ (Закупки малого объема)","https://www.rts-tender.ru/poisk/id/l14786839-3-9-1/","https://www.tenderguru.ru/tender/94523617","10329858","","","","0","docsXML empty in tender card","denied","Информация доступна в платных тарифах https://tenderguru.ru/tariffs/short","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94523617&ff=a&drl=1"
"94523744","25-05-2026","Программное обеспечение","Акционерное общество «Дирекция технологической инфраструктуры Москвы»","","Москва","693875","25-05-2026","","Портал поставщиков","https://zakupki.mos.ru/auction/10208694","https://www.tenderguru.ru/tender/94523744","","","","","0","docsXML empty in tender card","denied","Информация доступна в платных тарифах https://tenderguru.ru/tariffs/short","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94523744&ff=a&drl=1"
"94523889","25-05-2026","Поставка программного обеспечения с передачей права использования программы на условиях простой (неисключительной) лицензии в рамках государственной программы «Доступная среда»","ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ТУЛЬСКОЙ ОБЛАСТИ ""ТУЛЬСКИЙ ОБЛАСТНОЙ ЦЕНТР РЕАБИЛИТАЦИИ ИНВАЛИДОВ""","","Тульская область","92100","27-05-2026","","Портал поставщиков","https://old.zakupki.mos.ru/#/need/6079654","https://www.tenderguru.ru/tender/94523889","","","","","0","docsXML empty in tender card","denied","Информация доступна в платных тарифах https://tenderguru.ru/tariffs/short","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94523889&ff=a&drl=1"
